,Country,Indicator,Inequality,Unit,Value
1558,Mexico,Life satisfaction,Men,Average score,6.3
1559,Netherlands,Life satisfaction,Men,Average score,7.6
1560,New Zealand,Life satisfaction,Men,Average score,7.1
1561,Norway,Life satisfaction,Men,Average score,7.3
1562,Poland,Life satisfaction,Men,Average score,6.3
1563,Portugal,Life satisfaction,Men,Average score,6.0
1564,Slovak Republic,Life satisfaction,Men,Average score,6.5
1565,Spain,Life satisfaction,Men,Average score,6.4
1566,Sweden,Life satisfaction,Men,Average score,7.3
1567,Switzerland,Life satisfaction,Men,Average score,7.5
1568,Türkiye,Life satisfaction,Men,Average score,4.3
1569,United Kingdom,Life satisfaction,Men,Average score,6.7
1570,United States,Life satisfaction,Men,Average score,7.0
1571,Brazil,Life satisfaction,Men,Average score,6.2
1572,Chile,Life satisfaction,Men,Average score,6.2
1573,Estonia,Life satisfaction,Men,Average score,6.3
1574,Israel,Life satisfaction,Men,Average score,7.2
1575,Latvia,Life satisfaction,Men,Average score,6.3
1576,Russia,Life satisfaction,Men,Average score,5.3
1577,Slovenia,Life satisfaction,Men,Average score,6.5
1578,South Africa,Life satisfaction,Men,Average score,4.9
1579,OECD - Total,Life satisfaction,Men,Average score,6.7
1580,Australia,Life satisfaction,Women,Average score,7.2
1581,Austria,Life satisfaction,Women,Average score,7.3
1582,Belgium,Life satisfaction,Women,Average score,6.8
1583,Canada,Life satisfaction,Women,Average score,7.0
1584,Czech Republic,Life satisfaction,Women,Average score,6.9
1585,Denmark,Life satisfaction,Women,Average score,7.6
1586,Finland,Life satisfaction,Women,Average score,8.1
1587,France,Life satisfaction,Women,Average score,6.7
1588,Germany,Life satisfaction,Women,Average score,7.3
1589,Greece,Life satisfaction,Women,Average score,5.6
1590,Hungary,Life satisfaction,Women,Average score,5.8
1591,Iceland,Life satisfaction,Women,Average score,7.7
1592,Ireland,Life satisfaction,Women,Average score,7.2
1593,Italy,Life satisfaction,Women,Average score,6.5
1594,Japan,Life satisfaction,Women,Average score,6.3
1595,Korea,Life satisfaction,Women,Average score,6.2
1596,Luxembourg,Life satisfaction,Women,Average score,7.4
1597,Mexico,Life satisfaction,Women,Average score,5.6
1598,Netherlands,Life satisfaction,Women,Average score,7.4
1599,New Zealand,Life satisfaction,Women,Average score,7.4
1600,Norway,Life satisfaction,Women,Average score,7.3
1601,Poland,Life satisfaction,Women,Average score,6.0
1602,Portugal,Life satisfaction,Women,Average score,5.6
1603,Slovak Republic,Life satisfaction,Women,Average score,6.6
1604,Spain,Life satisfaction,Women,Average score,6.6
1605,Sweden,Life satisfaction,Women,Average score,7.3
1606,Switzerland,Life satisfaction,Women,Average score,7.5
1607,Türkiye,Life satisfaction,Women,Average score,5.4
1608,United Kingdom,Life satisfaction,Women,Average score,6.9
1609,United States,Life satisfaction,Women,Average score,7.1
1610,Brazil,Life satisfaction,Women,Average score,6.0
1611,Chile,Life satisfaction,Women,Average score,6.1
1612,Estonia,Life satisfaction,Women,Average score,6.6
1613,Israel,Life satisfaction,Women,Average score,7.2
1614,Latvia,Life satisfaction,Women,Average score,6.2
1615,Russia,Life satisfaction,Women,Average score,5.6
1616,Slovenia,Life satisfaction,Women,Average score,6.4
1617,South Africa,Life satisfaction,Women,Average score,5.0
1618,OECD - Total,Life satisfaction,Women,Average score,6.7
1619,Australia,Homicide rate,Total,Ratio,0.9
1620,Austria,Homicide rate,Total,Ratio,0.5
1621,Belgium,Homicide rate,Total,Ratio,1.1
1622,Canada,Homicide rate,Total,Ratio,1.2
1623,Czech Republic,Homicide rate,Total,Ratio,0.7
1624,Denmark,Homicide rate,Total,Ratio,0.5
1625,Finland,Homicide rate,Total,Ratio,1.2
1626,France,Homicide rate,Total,Ratio,0.4
1627,Germany,Homicide rate,Total,Ratio,0.4
1628,Greece,Homicide rate,Total,Ratio,1.0
1629,Hungary,Homicide rate,Total,Ratio,0.9
1630,Iceland,Homicide rate,Total,Ratio,0.3
1631,Ireland,Homicide rate,Total,Ratio,0.5
1632,Italy,Homicide rate,Total,Ratio,0.5
1633,Japan,Homicide rate,Total,Ratio,0.2
1634,Korea,Homicide rate,Total,Ratio,0.8
1635,Luxembourg,Homicide rate,Total,Ratio,0.2
1636,Mexico,Homicide rate,Total,Ratio,26.8
1637,Netherlands,Homicide rate,Total,Ratio,0.6
1638,New Zealand,Homicide rate,Total,Ratio,1.3
1639,Norway,Homicide rate,Total,Ratio,0.6
1640,Poland,Homicide rate,Total,Ratio,0.5
1641,Portugal,Homicide rate,Total,Ratio,0.7
1642,Slovak Republic,Homicide rate,Total,Ratio,0.8
1643,Spain,Homicide rate,Total,Ratio,0.7
1644,Sweden,Homicide rate,Total,Ratio,1.1
1645,Switzerland,Homicide rate,Total,Ratio,0.3
1646,Türkiye,Homicide rate,Total,Ratio,1.0
1647,United Kingdom,Homicide rate,Total,Ratio,0.2
1648,United States,Homicide rate,Total,Ratio,6.0
1649,Brazil,Homicide rate,Total,Ratio,19.0
1650,Chile,Homicide rate,Total,Ratio,2.4
1651,Estonia,Homicide rate,Total,Ratio,1.9
1652,Israel,Homicide rate,Total,Ratio,1.5
1653,Latvia,Homicide rate,Total,Ratio,3.7
1654,Russia,Homicide rate,Total,Ratio,4.8
1655,Slovenia,Homicide rate,Total,Ratio,0.4
1656,South Africa,Homicide rate,Total,Ratio,13.7
1657,OECD - Total,Homicide rate,Total,Ratio,2.6
1658,Australia,Homicide rate,Men,Ratio,1.3
1659,Austria,Homicide rate,Men,Ratio,0.5
1660,Belgium,Homicide rate,Men,Ratio,1.4
1661,Canada,Homicide rate,Men,Ratio,1.8
1662,Czech Republic,Homicide rate,Men,Ratio,0.8
1663,Denmark,Homicide rate,Men,Ratio,0.7
1664,Finland,Homicide rate,Men,Ratio,1.8
1665,France,Homicide rate,Men,Ratio,0.6
1666,Germany,Homicide rate,Men,Ratio,0.4
1667,Greece,Homicide rate,Men,Ratio,1.6
1668,Hungary,Homicide rate,Men,Ratio,1.1
1669,Iceland,Homicide rate,Men,Ratio,0.5
1670,Ireland,Homicide rate,Men,Ratio,0.8
1671,Italy,Homicide rate,Men,Ratio,0.7
1672,Japan,Homicide rate,Men,Ratio,0.2
1673,Korea,Homicide rate,Men,Ratio,0.9
1674,Luxembourg,Homicide rate,Men,Ratio,0.3
1675,Mexico,Homicide rate,Men,Ratio,50.5
1676,Netherlands,Homicide rate,Men,Ratio,0.8
1677,New Zealand,Homicide rate,Men,Ratio,1.6
1678,Norway,Homicide rate,Men,Ratio,0.7
1679,Poland,Homicide rate,Men,Ratio,0.8
1680,Portugal,Homicide rate,Men,Ratio,1.0
1681,Slovak Republic,Homicide rate,Men,Ratio,1.0
1682,Spain,Homicide rate,Men,Ratio,0.9
1683,Sweden,Homicide rate,Men,Ratio,1.5
1684,Switzerland,Homicide rate,Men,Ratio,0.4
1685,Türkiye,Homicide rate,Men,Ratio,1.5
1686,United Kingdom,Homicide rate,Men,Ratio,0.2
1687,United States,Homicide rate,Men,Ratio,9.5
1688,Brazil,Homicide rate,Men,Ratio,35.5
1689,Chile,Homicide rate,Men,Ratio,4.2
1690,Estonia,Homicide rate,Men,Ratio,3.1
1691,Israel,Homicide rate,Men,Ratio,2.4
1692,Latvia,Homicide rate,Men,Ratio,5.8
1693,Russia,Homicide rate,Men,Ratio,7.7
1694,Slovenia,Homicide rate,Men,Ratio,0.5
1695,South Africa,Homicide rate,Men,Ratio,24.7
1696,OECD - Total,Homicide rate,Men,Ratio,4.4
1697,Australia,Homicide rate,Women,Ratio,0.6
1698,Austria,Homicide rate,Women,Ratio,0.5
1699,Belgium,Homicide rate,Women,Ratio,0.8
1700,Canada,Homicide rate,Women,Ratio,0.7
1701,Czech Republic,Homicide rate,Women,Ratio,0.6
1702,Denmark,Homicide rate,Women,Ratio,0.4
1703,Finland,Homicide rate,Women,Ratio,0.7
1704,France,Homicide rate,Women,Ratio,0.3
1705,Germany,Homicide rate,Women,Ratio,0.3
1706,Greece,Homicide rate,Women,Ratio,0.4
1707,Hungary,Homicide rate,Women,Ratio,0.7
1708,Iceland,Homicide rate,Women,Ratio,1.2
1709,Ireland,Homicide rate,Women,Ratio,0.1
1710,Italy,Homicide rate,Women,Ratio,0.3
1711,Japan,Homicide rate,Women,Ratio,0.2
1712,Korea,Homicide rate,Women,Ratio,0.7
1713,Luxembourg,Homicide rate,Women,Ratio,0.2
1714,Mexico,Homicide rate,Women,Ratio,5.5
1715,Netherlands,Homicide rate,Women,Ratio,0.4
1716,New Zealand,Homicide rate,Women,Ratio,1.0
1717,Norway,Homicide rate,Women,Ratio,0.5
1718,Poland,Homicide rate,Women,Ratio,0.3
1719,Portugal,Homicide rate,Women,Ratio,0.4
1720,Slovak Republic,Homicide rate,Women,Ratio,0.6
1721,Spain,Homicide rate,Women,Ratio,0.5
1722,Sweden,Homicide rate,Women,Ratio,0.5
1723,Switzerland,Homicide rate,Women,Ratio,0.3
1724,Türkiye,Homicide rate,Women,Ratio,0.5
1725,United Kingdom,Homicide rate,Women,Ratio,0.1
1726,United States,Homicide rate,Women,Ratio,2.5
1727,Brazil,Homicide rate,Women,Ratio,3.3
1728,Chile,Homicide rate,Women,Ratio,0.7
1729,Estonia,Homicide rate,Women,Ratio,0.6
1730,Israel,Homicide rate,Women,Ratio,0.7
1731,Latvia,Homicide rate,Women,Ratio,1.9
1732,Russia,Homicide rate,Women,Ratio,2.2
1733,Slovenia,Homicide rate,Women,Ratio,0.3
1734,South Africa,Homicide rate,Women,Ratio,3.6
1735,OECD - Total,Homicide rate,Women,Ratio,0.9
1736,Australia,Employees working very long hours,Total,Percentage,12.5
1737,Austria,Employees working very long hours,Total,Percentage,5.3
1738,Belgium,Employees working very long hours,Total,Percentage,4.3
1739,Canada,Employees working very long hours,Total,Percentage,3.3
1740,Czech Republic,Employees working very long hours,Total,Percentage,4.5
1741,Denmark,Employees working very long hours,Total,Percentage,1.1
1742,Finland,Employees working very long hours,Total,Percentage,3.6
1743,France,Employees working very long hours,Total,Percentage,7.7
1744,Germany,Employees working very long hours,Total,Percentage,3.9
1745,Greece,Employees working very long hours,Total,Percentage,4.5
1746,Hungary,Employees working very long hours,Total,Percentage,1.5
1747,Iceland,Employees working very long hours,Total,Percentage,11.7
1748,Ireland,Employees working very long hours,Total,Percentage,4.7
1749,Italy,Employees working very long hours,Total,Percentage,3.3
1750,Luxembourg,Employees working very long hours,Total,Percentage,2.8
1751,Mexico,Employees working very long hours,Total,Percentage,27.0
1752,Netherlands,Employees working very long hours,Total,Percentage,0.3
1753,New Zealand,Employees working very long hours,Total,Percentage,14.0
1754,Norway,Employees working very long hours,Total,Percentage,1.4
1755,Poland,Employees working very long hours,Total,Percentage,4.2
1756,Portugal,Employees working very long hours,Total,Percentage,5.6
1757,Slovak Republic,Employees working very long hours,Total,Percentage,4.2
1758,Spain,Employees working very long hours,Total,Percentage,2.5
1759,Sweden,Employees working very long hours,Total,Percentage,0.9
1760,Switzerland,Employees working very long hours,Total,Percentage,0.4
1761,Türkiye,Employees working very long hours,Total,Percentage,25.0
1762,United Kingdom,Employees working very long hours,Total,Percentage,10.8
1763,United States,Employees working very long hours,Total,Percentage,10.4
1764,Brazil,Employees working very long hours,Total,Percentage,5.6
1765,Chile,Employees working very long hours,Total,Percentage,7.7
1766,Estonia,Employees working very long hours,Total,Percentage,2.2
1767,Israel,Employees working very long hours,Total,Percentage,14.1
1768,Latvia,Employees working very long hours,Total,Percentage,1.6
1769,Russia,Employees working very long hours,Total,Percentage,0.1
1770,Slovenia,Employees working very long hours,Total,Percentage,5.6
1771,South Africa,Employees working very long hours,Total,Percentage,15.4
1772,OECD - Total,Employees working very long hours,Total,Percentage,10.2
1773,Australia,Employees working very long hours,Men,Percentage,18.5
1774,Austria,Employees working very long hours,Men,Percentage,8.1
1775,Belgium,Employees working very long hours,Men,Percentage,5.8
1776,Canada,Employees working very long hours,Men,Percentage,5.3
1777,Czech Republic,Employees working very long hours,Men,Percentage,6.7
1778,Denmark,Employees working very long hours,Men,Percentage,2.1
1779,Finland,Employees working very long hours,Men,Percentage,5.2
1780,France,Employees working very long hours,Men,Percentage,10.2
1781,Germany,Employees working very long hours,Men,Percentage,5.7
1782,Greece,Employees working very long hours,Men,Percentage,6.1
1783,Hungary,Employees working very long hours,Men,Percentage,2.0
1784,Iceland,Employees working very long hours,Men,Percentage,17.9
1785,Ireland,Employees working very long hours,Men,Percentage,7.8
1786,Italy,Employees working very long hours,Men,Percentage,4.3
1787,Luxembourg,Employees working very long hours,Men,Percentage,3.4
1788,Mexico,Employees working very long hours,Men,Percentage,33.0
1789,Netherlands,Employees working very long hours,Men,Percentage,0.6
1790,New Zealand,Employees working very long hours,Men,Percentage,19.3
1791,Norway,Employees working very long hours,Men,Percentage,2.1
1792,Poland,Employees working very long hours,Men,Percentage,6.7
1793,Portugal,Employees working very long hours,Men,Percentage,8.1
1794,Slovak Republic,Employees working very long hours,Men,Percentage,6.1
1795,Spain,Employees working very long hours,Men,Percentage,3.5
1796,Sweden,Employees working very long hours,Men,Percentage,1.3
1797,Switzerland,Employees working very long hours,Men,Percentage,0.4
1798,Türkiye,Employees working very long hours,Men,Percentage,27.2
1799,United Kingdom,Employees working very long hours,Men,Percentage,15.3
1800,United States,Employees working very long hours,Men,Percentage,13.9
1801,Brazil,Employees working very long hours,Men,Percentage,7.3
1802,Chile,Employees working very long hours,Men,Percentage,9.6
1803,Estonia,Employees working very long hours,Men,Percentage,3.0
1804,Israel,Employees working very long hours,Men,Percentage,21.5
1805,Latvia,Employees working very long hours,Men,Percentage,2.4
1806,Russia,Employees working very long hours,Men,Percentage,0.2
1807,Slovenia,Employees working very long hours,Men,Percentage,7.9
1808,South Africa,Employees working very long hours,Men,Percentage,19.7
1809,OECD - Total,Employees working very long hours,Men,Percentage,13.8
1810,Australia,Employees working very long hours,Women,Percentage,6.1
1811,Austria,Employees working very long hours,Women,Percentage,2.4
1812,Belgium,Employees working very long hours,Women,Percentage,2.6
1813,Canada,Employees working very long hours,Women,Percentage,1.2
1814,Czech Republic,Employees working very long hours,Women,Percentage,2.0
1815,Denmark,Employees working very long hours,Women,Percentage,0.1
1816,Finland,Employees working very long hours,Women,Percentage,2.1
1817,France,Employees working very long hours,Women,Percentage,5.2
1818,Germany,Employees working very long hours,Women,Percentage,1.8
1819,Greece,Employees working very long hours,Women,Percentage,2.5
1820,Hungary,Employees working very long hours,Women,Percentage,0.9
1821,Iceland,Employees working very long hours,Women,Percentage,5.0
1822,Ireland,Employees working very long hours,Women,Percentage,1.7
1823,Italy,Employees working very long hours,Women,Percentage,2.2
1824,Luxembourg,Employees working very long hours,Women,Percentage,2.0
1825,Mexico,Employees working very long hours,Women,Percentage,17.4
1826,Netherlands,Employees working very long hours,Women,Percentage,0.1
1827,New Zealand,Employees working very long hours,Women,Percentage,8.6
1828,Norway,Employees working very long hours,Women,Percentage,0.6
1829,Poland,Employees working very long hours,Women,Percentage,1.3
1830,Portugal,Employees working very long hours,Women,Percentage,3.3
1831,Slovak Republic,Employees working very long hours,Women,Percentage,2.0
1832,Spain,Employees working very long hours,Women,Percentage,1.4
1833,Sweden,Employees working very long hours,Women,Percentage,0.5
1834,Switzerland,Employees working very long hours,Women,Percentage,0.3
1835,Türkiye,Employees working very long hours,Women,Percentage,20.1
1836,United Kingdom,Employees working very long hours,Women,Percentage,6.3
1837,United States,Employees working very long hours,Women,Percentage,6.6
1838,Brazil,Employees working very long hours,Women,Percentage,3.6
1839,Chile,Employees working very long hours,Women,Percentage,5.0
1840,Estonia,Employees working very long hours,Women,Percentage,1.4
1841,Israel,Employees working very long hours,Women,Percentage,6.8
1842,Latvia,Employees working very long hours,Women,Percentage,1.0
1843,Russia,Employees working very long hours,Women,Percentage,0.1
1844,Slovenia,Employees working very long hours,Women,Percentage,2.9
1845,South Africa,Employees working very long hours,Women,Percentage,10.4
1846,OECD - Total,Employees working very long hours,Women,Percentage,6.0
1847,Australia,Time devoted to leisure and personal care,Total,Hours,14.36
1848,Austria,Time devoted to leisure and personal care,Total,Hours,14.51
1849,Belgium,Time devoted to leisure and personal care,Total,Hours,15.52
1850,Canada,Time devoted to leisure and personal care,Total,Hours,14.57
1851,Finland,Time devoted to leisure and personal care,Total,Hours,15.17
1852,France,Time devoted to leisure and personal care,Total,Hours,16.2
1853,Germany,Time devoted to leisure and personal care,Total,Hours,15.62
1854,Greece,Time devoted to leisure and personal care,Total,Hours,15.03
1855,Hungary,Time devoted to leisure and personal care,Total,Hours,15.08
1856,Ireland,Time devoted to leisure and personal care,Total,Hours,14.54
1857,Italy,Time devoted to leisure and personal care,Total,Hours,16.47
1858,Japan,Time devoted to leisure and personal care,Total,Hours,14.1
1859,Korea,Time devoted to leisure and personal care,Total,Hours,14.83
1860,Netherlands,Time devoted to leisure and personal care,Total,Hours,15.45
1861,New Zealand,Time devoted to leisure and personal care,Total,Hours,14.87
1862,Norway,Time devoted to leisure and personal care,Total,Hours,15.67
1863,Poland,Time devoted to leisure and personal care,Total,Hours,14.68
1864,Spain,Time devoted to leisure and personal care,Total,Hours,15.75
1865,Türkiye,Time devoted to leisure and personal care,Total,Hours,14.61
1866,United Kingdom,Time devoted to leisure and personal care,Total,Hours,14.94
1867,United States,Time devoted to leisure and personal care,Total,Hours,14.57
1868,Estonia,Time devoted to leisure and personal care,Total,Hours,14.98
1869,OECD - Total,Time devoted to leisure and personal care,Total,Hours,15.07
1870,Australia,Time devoted to leisure and personal care,Men,Hours,14.8
1871,Austria,Time devoted to leisure and personal care,Men,Hours,14.7
1872,Belgium,Time devoted to leisure and personal care,Men,Hours,15.6
1873,Canada,Time devoted to leisure and personal care,Men,Hours,14.6
1874,Finland,Time devoted to leisure and personal care,Men,Hours,15.3
1875,France,Time devoted to leisure and personal care,Men,Hours,16.4
1876,Germany,Time devoted to leisure and personal care,Men,Hours,15.7
1877,Greece,Time devoted to leisure and personal care,Men,Hours,15.4
1878,Hungary,Time devoted to leisure and personal care,Men,Hours,15.5
1879,Ireland,Time devoted to leisure and personal care,Men,Hours,14.6
1880,Italy,Time devoted to leisure and personal care,Men,Hours,16.9
1881,Japan,Time devoted to leisure and personal care,Men,Hours,14.2
1882,Korea,Time devoted to leisure and personal care,Men,Hours,15.1
1883,Netherlands,Time devoted to leisure and personal care,Men,Hours,15.4
1884,New Zealand,Time devoted to leisure and personal care,Men,Hours,14.6
1885,Norway,Time devoted to leisure and personal care,Men,Hours,15.0
1886,Poland,Time devoted to leisure and personal care,Men,Hours,14.9
1887,Spain,Time devoted to leisure and personal care,Men,Hours,16.1
1888,Türkiye,Time devoted to leisure and personal care,Men,Hours,14.8
1889,United Kingdom,Time devoted to leisure and personal care,Men,Hours,15.0
1890,United States,Time devoted to leisure and personal care,Men,Hours,14.8
1891,Estonia,Time devoted to leisure and personal care,Men,Hours,15.4
1892,OECD - Total,Time devoted to leisure and personal care,Men,Hours,15.2
1893,Australia,Time devoted to leisure and personal care,Women,Hours,13.65
1894,Austria,Time devoted to leisure and personal care,Women,Hours,14.31
1895,Belgium,Time devoted to leisure and personal care,Women,Hours,15.33
1896,Canada,Time devoted to leisure and personal care,Women,Hours,14.47
1897,Finland,Time devoted to leisure and personal care,Women,Hours,15.05
1898,France,Time devoted to leisure and personal care,Women,Hours,15.92
1899,Germany,Time devoted to leisure and personal care,Women,Hours,15.57
1900,Greece,Time devoted to leisure and personal care,Women,Hours,14.78
1901,Hungary,Time devoted to leisure and personal care,Women,Hours,14.55
1902,Ireland,Time devoted to leisure and personal care,Women,Hours,14.41
1903,Italy,Time devoted to leisure and personal care,Women,Hours,15.52
1904,Japan,Time devoted to leisure and personal care,Women,Hours,14.0
1905,Korea,Time devoted to leisure and personal care,Women,Hours,14.47
1906,Netherlands,Time devoted to leisure and personal care,Women,Hours,15.67
1907,New Zealand,Time devoted to leisure and personal care,Women,Hours,14.53
1908,Norway,Time devoted to leisure and personal care,Women,Hours,16.39
1909,Poland,Time devoted to leisure and personal care,Women,Hours,14.33
1910,Spain,Time devoted to leisure and personal care,Women,Hours,15.26
1911,Türkiye,Time devoted to leisure and personal care,Women,Hours,14.07
1912,United Kingdom,Time devoted to leisure and personal care,Women,Hours,14.88
1913,United States,Time devoted to leisure and personal care,Women,Hours,14.29
1914,Estonia,Time devoted to leisure and personal care,Women,Hours,14.55
1915,OECD - Total,Time devoted to leisure and personal care,Women,Hours,14.84
1916,Colombia,Stakeholder engagement for developing regulations,Total,Average score,1.4
1917,Lithuania,Stakeholder engagement for developing regulations,Total,Average score,2.4
1918,Colombia,Dwellings without basic facilities,Total,Percentage,12.3
1919,Lithuania,Dwellings without basic facilities,Total,Percentage,11.8
1920,Lithuania,Housing expenditure,Total,Percentage,18.4
1921,Colombia,Feeling safe walking alone at night,Total,Percentage,50.0
1922,Lithuania,Feeling safe walking alone at night,Total,Percentage,62.0
1923,Colombia,Feeling safe walking alone at night,Men,Percentage,54.0
1924,Lithuania,Feeling safe walking alone at night,Men,Percentage,69.0
1925,Colombia,Feeling safe walking alone at night,Women,Percentage,45.0
1926,Lithuania,Feeling safe walking alone at night,Women,Percentage,56.0
1927,Colombia,Rooms per person,Total,Ratio,1.0
1928,Lithuania,Rooms per person,Total,Ratio,1.5
1929,Lithuania,Household net adjusted disposable income,Total,US Dollar,26976.0
1930,Lithuania,Household net wealth,Total,US Dollar,182039.0
1931,Colombia,Employment rate,Total,Percentage,58.0
1932,Lithuania,Employment rate,Total,Percentage,72.0
1933,Colombia,Employment rate,Men,Percentage,71.0
1934,Lithuania,Employment rate,Men,Percentage,72.0
1935,Colombia,Employment rate,Women,Percentage,45.0
1936,Lithuania,Employment rate,Women,Percentage,71.0
1937,Colombia,Long-term unemployment rate,Total,Percentage,1.1
1938,Lithuania,Long-term unemployment rate,Total,Percentage,2.5
1939,Colombia,Long-term unemployment rate,Men,Percentage,0.7
1940,Lithuania,Long-term unemployment rate,Men,Percentage,2.5
1941,Colombia,Long-term unemployment rate,Women,Percentage,1.6
1942,Lithuania,Long-term unemployment rate,Women,Percentage,2.4
1943,Lithuania,Personal earnings,Total,US Dollar,31811.0
1944,Colombia,Quality of support network,Total,Percentage,80.0
1945,Lithuania,Quality of support network,Total,Percentage,89.0
1946,Colombia,Quality of support network,Men,Percentage,76.0
1947,Lithuania,Quality of support network,Men,Percentage,89.0
1948,Colombia,Quality of support network,Women,Percentage,83.0
1949,Lithuania,Quality of support network,Women,Percentage,88.0
1950,Colombia,Educational attainment,Total,Percentage,59.0
1951,Lithuania,Educational attainment,Total,Percentage,94.0
1952,Colombia,Educational attainment,Men,Percentage,56.0
1953,Lithuania,Educational attainment,Men,Percentage,91.0
1954,Colombia,Educational attainment,Women,Percentage,61.0
1955,Lithuania,Educational attainment,Women,Percentage,96.0
1956,Colombia,Student skills,Total,Average score,406.0
1957,Lithuania,Student skills,Total,Average score,480.0
1958,Colombia,Student skills,Men,Average score,409.0
1959,Lithuania,Student skills,Men,Average score,472.0
1960,Colombia,Student skills,Women,Average score,402.0
1961,Lithuania,Student skills,Women,Average score,488.0
1962,Colombia,Years in education,Total,Years,14.0
1963,Lithuania,Years in education,Total,Years,18.0
1964,Colombia,Years in education,Men,Years,14.0
1965,Lithuania,Years in education,Men,Years,18.0
1966,Colombia,Years in education,Women,Years,14.0
1967,Lithuania,Years in education,Women,Years,19.0
1968,Colombia,Air pollution,Total,Micrograms per cubic metre,22.6
1969,Lithuania,Air pollution,Total,Micrograms per cubic metre,10.5
1970,Colombia,Water quality,Total,Percentage,82.0
1971,Lithuania,Water quality,Total,Percentage,83.0
1972,Colombia,Water quality,Men,Percentage,80.0
1973,Lithuania,Water quality,Men,Percentage,85.0
1974,Colombia,Water quality,Women,Percentage,83.0
1975,Lithuania,Water quality,Women,Percentage,81.0
1976,Colombia,Voter turnout,Total,Percentage,53.0
1977,Lithuania,Voter turnout,Total,Percentage,57.0
1978,Colombia,Life expectancy,Total,Years,76.7
1979,Lithuania,Life expectancy,Total,Years,76.4
1980,Colombia,Life expectancy,Men,Years,73.5
1981,Lithuania,Life expectancy,Men,Years,71.6
1982,Colombia,Life expectancy,Women,Years,79.9
1983,Lithuania,Life expectancy,Women,Years,81.2
1984,Colombia,Self-reported health,Total,Percentage,80.0
1985,Lithuania,Self-reported health,Total,Percentage,46.0
1986,Colombia,Self-reported health,Men,Percentage,84.0
1987,Lithuania,Self-reported health,Men,Percentage,52.0
1988,Colombia,Self-reported health,Women,Percentage,78.0
1989,Lithuania,Self-reported health,Women,Percentage,42.0
1990,Colombia,Life satisfaction,Total,Average score,5.7
1991,Lithuania,Life satisfaction,Total,Average score,6.4
1992,Colombia,Life satisfaction,Men,Average score,5.7
1993,Lithuania,Life satisfaction,Men,Average score,6.6
1994,Colombia,Life satisfaction,Women,Average score,5.7
1995,Lithuania,Life satisfaction,Women,Average score,6.2
1996,Colombia,Homicide rate,Total,Ratio,23.1
1997,Lithuania,Homicide rate,Total,Ratio,2.5
1998,Colombia,Homicide rate,Men,Ratio,43.0
1999,Lithuania,Homicide rate,Men,Ratio,4.0
2000,Colombia,Homicide rate,Women,Ratio,4.1
2001,Lithuania,Homicide rate,Women,Ratio,1.0
2002,Colombia,Employees working very long hours,Total,Percentage,23.7
2003,Lithuania,Employees working very long hours,Total,Percentage,1.0
2004,Colombia,Employees working very long hours,Men,Percentage,28.2
2005,Lithuania,Employees working very long hours,Men,Percentage,1.1
2006,Colombia,Employees working very long hours,Women,Percentage,17.1
2007,Lithuania,Employees working very long hours,Women,Percentage,0.8
2008,Costa Rica,Stakeholder engagement for developing regulations,Total,Average score,1.8
2009,Costa Rica,Dwellings without basic facilities,Total,Percentage,2.3
2010,Costa Rica,Housing expenditure,Total,Percentage,17.0
2011,Costa Rica,Feeling safe walking alone at night,Total,Percentage,47.0
2012,Costa Rica,Feeling safe walking alone at night,Men,Percentage,59.0
2013,Costa Rica,Feeling safe walking alone at night,Women,Percentage,36.0
2014,Costa Rica,Rooms per person,Total,Ratio,1.2
2015,Costa Rica,Household net adjusted disposable income,Total,US Dollar,16517.0
2016,Costa Rica,Employment rate,Total,Percentage,55.0
2017,Costa Rica,Employment rate,Men,Percentage,68.0
2018,Costa Rica,Employment rate,Women,Percentage,41.0
2019,Costa Rica,Long-term unemployment rate,Total,Percentage,1.5
2020,Costa Rica,Long-term unemployment rate,Men,Percentage,0.8
2021,Costa Rica,Long-term unemployment rate,Women,Percentage,2.6
2022,Costa Rica,Quality of support network,Total,Percentage,82.0
2023,Costa Rica,Quality of support network,Men,Percentage,80.0
2024,Costa Rica,Quality of support network,Women,Percentage,85.0
2025,Costa Rica,Educational attainment,Total,Percentage,43.0
2026,Costa Rica,Educational attainment,Men,Percentage,41.0
2027,Costa Rica,Educational attainment,Women,Percentage,44.0
2028,Costa Rica,Student skills,Total,Average score,415.0
2029,Costa Rica,Student skills,Men,Average score,417.0
2030,Costa Rica,Student skills,Women,Average score,413.0
2031,Costa Rica,Air pollution,Total,Micrograms per cubic metre,17.5
2032,Costa Rica,Water quality,Total,Percentage,87.0
2033,Costa Rica,Water quality,Men,Percentage,90.0
2034,Costa Rica,Water quality,Women,Percentage,85.0
2035,Costa Rica,Voter turnout,Total,Percentage,66.0
2036,Costa Rica,Life expectancy,Total,Years,80.5
2037,Costa Rica,Life expectancy,Men,Years,77.9
2038,Costa Rica,Life expectancy,Women,Years,83.0
2039,Costa Rica,Self-reported health,Total,Percentage,73.0
2040,Costa Rica,Self-reported health,Men,Percentage,77.0
2041,Costa Rica,Self-reported health,Women,Percentage,70.0
2042,Costa Rica,Life satisfaction,Total,Average score,6.3
2043,Costa Rica,Life satisfaction,Men,Average score,6.2
2044,Costa Rica,Life satisfaction,Women,Average score,6.5
2045,Costa Rica,Homicide rate,Total,Ratio,10.0
